CountryName,CountryCode,IndicatorName,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lebanon,LBN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,4.1999998093,,,,,,,,,,
Lesotho,LSO,Prevalence of underweight,,,,,,,,,,,15.1999998093,,,,,,,,,,,,,,,,13.8000001907,18.8999996185,,,,,,,15,,,,16.6000003815,,,,,13.5,,,,,10.3000001907
Liberia,LBR,Prevalence of underweight,,,,,,,,,,,17.7999992371,,,,,,,,,,,,,,,,,,,,,,,,22.7999992371,,,,,,,20.3999996185,,,,,,15.3000001907,
Libya,LBY,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3000001907,,,,,,,,,,,,5.5999999046,,,,,,,
Liechtenstein,LIE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao SAR China,MAC,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia  FYR,MKD,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8999999762,,,,,1.2,1.7999999523,,,,,,1.2999999523,,,
Madagascar,MDG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,29.7000007629,,,,,,,,35.5,40.9000015259,,30.3999996185,,35.5,,,,,,,36.7999992371,,,,,,,,,,
Malawi,MWI,Prevalence of underweight,,,,,,,,,,,,,,,,21.1000003815,,,,,,,,,,,24.3999996185,,,26.5,,,26.2999992371,,21.5,,,,18.3999996185,,15.5,,,12.1000003815,13.8000001907,,,,16.7000007629
Malaysia,MYS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,22.1000003815,23.1000003815,22.6000003815,20.5,19.7000007629,17.7000007629,,,,16.7000007629,,,,,,,12.8999996185,,,,,,,,
Maldives,MDV,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,39,,41.5,,,,25.7000007629,,,,,,,,17.7999992371,,,,,
Mali,MLI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,38.2000007629,,,,,30.1000003815,,,,,27.8999996185,,,,,,,,
Malta,MLT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,MHL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,43.2999992371,,,,,,20.2999992371,,,,30.3999996185,,,,,,,23.2000007629,15.8999996185,,,24.3999996185,19.5,,
Mauritius,MUS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,21.1000003815,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,
Mexico,MEX,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,12.3999996185,13.8999996185,,,,,,,14.8000001907,,6,,,,,,,,3.4000000954,,,,,,2.7999999523,,
Moldova,MDA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2000000477,,,,,,,2.2000000477,,
Monaco,MCO,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8000001907,,,,,,,10.8000001907,11.6000003815,,,,4.8000001907,5.3000001907,,,,,4.6999998093,,,1.6000000238,
Montenegro,MNE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2000000477,,,,,,,,1,
Morocco,MAR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,12.6999998093,,,,,8.1000003815,,,,,7.6999998093,,,,,,9.8999996185,,,,,,,,3.0999999046,,,
Mozambique,MOZ,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8999996185,,28.1000003815,,,,23,,21.2000007629,,,,,18.2999992371,,,15.6000003815,,,
Myanmar,MMR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,34.0999984741,,,,,,28.7999992371,32.7999992371,,,27.7000007629,38.7000007629,,25,,,30.1000003815,,,29.6000003815,,,,,,22.6000003815,,,,,
Namibia,NAM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,20.2999992371,,,,,,,17.5,,,,,,13.1999998093,
Nauru,NRU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8000001907,,,,,,,
Nepal,NPL,Prevalence of underweight,,,,,,,,,,60.7999992371,,,,,,,,,,,,,,,,,,,,44.0999984741,42.9000015259,,38.2000007629,,,43,,,,,38.7999992371,,,,,29.1000003815,,,
Netherlands,NLD,Prevalence of underweight,,,,,,,,,,,,,,,1.6000000238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,Prevalence of underweight,,,,,,,,,,,,,,,,,8.6999998093,,,,,,,,,,,9.6000003815,,,,,10.3000001907,,,7.8000001907,,,4.3000001907,,5.6999998093,,,,,,,,
Niger,NER,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,45,,,,,,,41,,,,,,45,,43.5999984741,,,,,,39.9000015259,,,,,,37.9000015259,,
Nigeria,NGA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,35.0999984741,,,35.0999984741,,,,,,27.2999992371,,,,27.2000007629,,,,25.7000007629,26.7000007629,,,24.3999996185,,31,19.7999992371
Northern Mariana Islands,MNP,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,21.3999996185,,,10,,,,,11.3000001907,,,,,,,,,,8.6000003815,,,,,
Pakistan,PAK,Prevalence of underweight,,,,,,,,,,,,48.2999992371,,,,,,,,,44.4000015259,,,,,39,,,35.2999992371,34.2000007629,,,,,,31.2999992371,,,,,,,,,,30.8999996185,31.6000003815,,
Palau,PLW,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,PAN,Prevalence of underweight,,,,,,,,,,,,,,,11.6999998093,,,,,,,,,,,,,,,,,6.3000001907,,,,,,5.0999999046,,,,,3.9000000954,,,,,,
Papua New Guinea,PNG,Prevalence of underweight,,,,,,,,,,,,,,,,,,24.6000003815,,,,,,,,,,,,,,,,,,,,,,18.1000003815,,,,,,27.8999996185,,,
Paraguay,PRY,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,2.7999999523,,,,,,,,,,,,,,,3.4000000954,,,,,,,2.5999999046,,
Peru,PER,Prevalence of underweight,,,,,,,,,,,,,,,,,,,11.6999998093,,,,,,,8.8000001907,,,,,5.6999998093,,,,5.1999998093,,,,,5.4000000954,,,4.5,4.3000001907,4.3000001907,4.1999998093,3.5,,
Philippines,PHL,Prevalence of underweight,,,,,,,,45.5,,,,,,,,,29.6000003815,,,,,29.2999992371,,,29.8999996185,,29.7999992371,26.2999992371,,,,,28.2999992371,,,,,20.7000007629,,,,,20.7000007629,,,20.2000007629,,,
Poland,POL,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,PRT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8000001907,,,,,,,,,,,,,,,,,,,
Romania,ROU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,3.4000000954,3.7000000477,3.7999999523,3.5,,,,,,,,,,,,
Russian Federation,RUS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,Prevalence of underweight,,,,,,,,,,,24.7000007629,,,,,,,,,,,,,,,,24.2999992371,,,,24.2000007629,,,,20.2999992371,,,,,18,,,,,11.6999998093,,,,
Samoa,WSM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7000000477,,,,,,,,,,,,,,,
San Marino,SMR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,10.1000003815,,,,,,8,,14.3999996185,,,,,,
Saudi Arabia,SAU,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,5.3000001907,,,,,,,,,
Senegal,SEN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,17.2999992371,,,,,,19,21.8999996185,,,19.6000003815,,,,20.2999992371,,,,,14.5,,,,,,19.2000007629,14.3999996185,16.7999992371,12.8000001907
Serbia,SRB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7999999523,,,,,1.6000000238,,,,1.7999999523
Seychelles,SYC,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,3.5999999046,,
Sierra Leone,SLE,Prevalence of underweight,,,,,,,,,,25,,,20.3999996185,,,,,,,,,,,23.7000007629,25.3999996185,,,,,,,,,,24.7000007629,,,,,28.2999992371,,,21.2999992371,,21.1000003815,,,18.1000003815,
Singapore,SGP,Prevalence of underweight,,,,,,,,,12.1999998093,,,,,,,,,,,,,,,,,,,,,,,,,,3.2999999523,,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,Prevalence of underweight,,,,,17.7000007629,,,,,,,,,,,,,,,,,,,16.2999992371,,,,,,,,,,,,,,,,,,11.5,,,,,,,
Somalia,SOM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7999992371,,,,,,32.7999992371,,,23,,,,,
South Africa,ZAF,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,10.1000003815,,,,,11.6000003815,11.6000003815,,,8.6999998093,,,,,,
South Sudan,SSD,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,27.6000003815,,,,
Spain,ESP,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Prevalence of underweight,,,,,,,,,,,,,49.7999992371,,,,,,,,,29.2999992371,,,,,,33.7999992371,,29.2999992371,,,,,22.7999992371,,,,,,,21.1000003815,,21.6000003815,,,26.2999992371,,
St. Kitts and Nevis,KNA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,Prevalence of underweight,,,,,,,,,,,12.1000003815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7999999523,,
St. Martin (French part),MAF,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,SDN,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7999992371,,,,,,,38.4000015259,,,,,,27,,,,,,,,33
Suriname,SUR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3999996185,,,,,,7.5,,,,5.8000001907,,,,
Swaziland,SWZ,Prevalence of underweight,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,9.1000003815,,,,,,6.0999999046,,7.3000001907,,5.8000001907,,,,
Sweden,SWE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,SYR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,11.3000001907,,,,,6,11.1000003815,,,,,10,,,10.1000003815,,,,,
Tajikistan,TJK,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8999996185,,15,,8.3000001907,,,13.3000001907,,
Tanzania,TZA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,25.1000003815,,,,,26.8999996185,,,25.2999992371,,,,,16.7000007629,,,,,15.8999996185,16.2000007629,13.6000003815,,,
Thailand,THA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,17.3999996185,,,,,,16.2999992371,,15.3999996185,,,,,,,,,,,7,,,,,,9.1999998093,,
The Bahamas,BHS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gambia,GMB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2000007629,,,,15.3999996185,,,,,,15.8000001907,,,,17.3999996185,,,16.3999996185,
Timor-Leste,TLS,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5999984741,41.5,,,,48.5999984741,,45.2999992371,,,,,
Togo,TGO,Prevalence of underweight,,,,,,,,,,,23.1000003815,,,,,,,,,,,,21.2000007629,,,,,,,,16.7000007629,,23.2000007629,,,,,,,,22.2999992371,,20.5,,16.5,,,,16.2000007629
Tonga,TON,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8999999762,,
Trinidad and Tobago,TTO,Prevalence of underweight,,,,,,,,,,,14.3000001907,,,,,,,,,,,4.6999998093,,,,,,,,,,,,,4.4000000954,,,,,,,,,,,,,,
Tunisia,TUN,Prevalence of underweight,,,,,,,,,17.2000007629,,,,,,,,,,,,,,8.5,,,,,,8.1000003815,,,3.2999999523,,,3.5,,,,,,3.2999999523,,,,,,2.2999999523,,
Turkey,TUR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6999998093,,9,,,7,,,,,,3.5,,,,1.7000000477,,,,,1.8999999762,
Turkmenistan,TKM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6000000238,,,,,,,
Uganda,UGA,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,19.7000007629,,,,,,,21.5,,,,,19,,,,,,16.3999996185,,,,,14.1000003815,,,
Ukraine,UKR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0999999046,,0.8999999762,,,,,,,,,,,,
United Arab Emirates,ARE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Prevalence of underweight,,,,,,,,,,,1.8999999762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Prevalence of underweight,,,,2,,,,,,,,,,,,,,,,,,,,,,0.8999999762,,,,,,,,,,1.1000000238,1.2999999523,,,1.1000000238,,,,0.8000000119,,,0.5,,
Uruguay,URY,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,5.1999998093,,,5.4000000954,5.6999998093,6,,,4.6999998093,,,,4.5,,,
Uzbekistan,UZB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3000001907,,,,,,7.0999999046,,,,4.4000000954,,,,,,,,
Vanuatu,VUT,Prevalence of underweight,,,,,,,,,,,,,,,,,,17.2999992371,,,,,,,,,,,,,10.6000003815,,,,,,,,,,,11.6999998093,,,,,,10.6999998093,
Venezuela RB,VEN,Prevalence of underweight,,,,,,,,,,,,,,,,,8.8999996185,,,,,3.9000000954,,,6.6999998093,5.4000000954,4.5,4,3.9000000954,4.0999999046,4.4000000954,4.5,4.5999999046,4.0999999046,3.9000000954,4,4.1999998093,4.5999999046,4.5,4.0999999046,3.9000000954,3.7000000477,3.2000000477,2.9000000954,,,,,
Vietnam,VNM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,47,,,,40.7000007629,,,,,36.9000015259,40.5999984741,,,,35.7999992371,32.7999992371,26.7000007629,,23.3999996185,24.6000003815,23.7999992371,22.7000007629,22.1000003815,22.6000003815,20.2000007629,,12,,,12.1000003815,
Virgin Islands (U.S.),VIR,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,PSE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5999999046,,,,,,,,,,,2.2000000477,,,3.7000000477,,,,1.3999999762
Yemen Rep.,YEM,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,29.6000003815,,,,,34.2000007629,47.5999984741,,,,,,43.0999984741,,,,,,,,35.5,,39.9000015259,
Zambia,ZMB,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2000007629,,,,19.6000003815,,,19.6000003815,,,23.2999992371,,,,,14.8999996185,,,,,,14.8000001907,
Zimbabwe,ZWE,Prevalence of underweight,,,,,,,,,,,,,,,,,,,,,,10.5,8,,,,,,11.6999998093,,,,,11.5,,,,,,14,,,,12.6999998093,10.1000003815,,,,11.1999998093
